date,n_positive,n_negative,n_neutral,n_total,neutral_ratio,s1_primary,s2_alternate,s3_prob_weighted,s4_conf_weighted,avg_confidence,avg_pos_prob,avg_neg_prob,avg_neu_prob
2017-03-03,35,53,75,163,0.4601,-0.204545,-0.110429,-0.128918,-0.263889,0.6903,0.2716,0.4005,0.3278
2017-03-04,18,11,24,53,0.4528,0.241379,0.132075,0.077345,0.375,0.6911,0.3596,0.2823,0.3581
2017-03-05,18,17,40,75,0.5333,0.028571,0.013333,-0.112773,-0.26087,0.6437,0.2515,0.3642,0.3843
2017-03-06,49,48,75,172,0.436,0.010309,0.005814,-0.040585,0.029412,0.6791,0.3036,0.3442,0.3521
2017-03-07,31,27,36,94,0.383,0.068966,0.042553,0.024561,0.142857,0.6946,0.3587,0.3341,0.3072
2017-03-08,47,44,55,146,0.3767,0.032967,0.020548,-0.002803,0.057971,0.7074,0.3479,0.3507,0.3013
2017-03-09,34,50,73,157,0.465,-0.190476,-0.101911,-0.130548,-0.28125,0.7,0.2666,0.3972,0.3363
2017-03-10,37,46,44,127,0.3465,-0.108434,-0.070866,-0.095923,-0.164179,0.7164,0.3175,0.4134,0.2691
2017-03-11,42,20,54,116,0.4655,0.354839,0.189655,0.11093,0.459459,0.6487,0.3812,0.2703,0.3485
2017-03-12,11,7,22,40,0.55,0.222222,0.1,-0.018669,0.090909,0.6249,0.2967,0.3154,0.3878
2017-03-13,9,6,13,28,0.4643,0.2,0.107143,0.0542,0.5,0.6421,0.3483,0.2941,0.3575
2017-03-14,52,41,69,162,0.4259,0.11828,0.067901,0.011527,0.260274,0.6945,0.3357,0.3241,0.3402
2017-03-15,69,46,111,226,0.4912,0.2,0.10177,-0.014492,0.059524,0.6675,0.3114,0.3259,0.3626
2017-03-16,82,40,94,216,0.4352,0.344262,0.194444,0.079128,0.302326,0.6761,0.3686,0.2894,0.342
2017-03-17,28,21,45,94,0.4787,0.142857,0.074468,-0.00285,0.117647,0.6749,0.3111,0.3139,0.375
2017-03-18,30,20,53,103,0.5146,0.2,0.097087,0.03639,0.382353,0.6484,0.3279,0.2915,0.3805
2017-03-19,16,17,50,83,0.6024,-0.030303,-0.012048,-0.073318,-0.25,0.6323,0.2481,0.3214,0.4305
2017-03-20,53,53,78,184,0.4239,0.0,0.0,-0.056122,-0.041096,0.6912,0.3028,0.359,0.3382
2017-03-21,44,50,66,160,0.4125,-0.06383,-0.0375,-0.105253,-0.121212,0.6822,0.283,0.3882,0.3288
2017-03-22,25,43,58,126,0.4603,-0.264706,-0.142857,-0.19914,-0.609756,0.6649,0.2237,0.4229,0.3534
2017-03-23,46,39,86,171,0.5029,0.082353,0.040936,-0.017695,0.125,0.6799,0.3065,0.3242,0.3694
2017-03-24,54,60,83,197,0.4213,-0.052632,-0.030457,-0.073765,-0.064516,0.7008,0.3024,0.3761,0.3215
2017-03-25,9,12,16,37,0.4324,-0.142857,-0.081081,-0.073908,0.0,0.6381,0.2691,0.343,0.388
2017-03-26,16,9,35,60,0.5833,0.28,0.116667,0.015233,0.083333,0.6123,0.3003,0.2851,0.4146
2017-03-27,19,28,32,79,0.4051,-0.191489,-0.113924,-0.176525,-0.541667,0.6413,0.2275,0.404,0.3685
2017-03-28,43,24,45,112,0.4018,0.283582,0.169643,0.054113,0.159091,0.6735,0.3674,0.3133,0.3193
2017-03-29,54,41,69,164,0.4207,0.136842,0.079268,0.002324,0.086957,0.683,0.337,0.3347,0.3283
2017-03-30,73,40,80,193,0.4145,0.292035,0.170984,0.074317,0.235955,0.6965,0.3686,0.2943,0.3372
2017-03-31,56,40,69,165,0.4182,0.166667,0.09697,0.032546,0.181818,0.6721,0.3512,0.3187,0.3301
2017-04-01,9,11,22,42,0.5238,-0.1,-0.047619,-0.061035,0.076923,0.6644,0.283,0.344,0.373
2017-04-02,16,7,27,50,0.54,0.391304,0.18,0.035892,0.095238,0.6802,0.3167,0.2808,0.4025
2017-04-03,58,52,84,194,0.433,0.054545,0.030928,-0.023321,0.060976,0.696,0.3194,0.3427,0.338
2017-04-04,48,46,65,159,0.4088,0.021277,0.012579,-0.054907,-0.032258,0.6822,0.3061,0.3611,0.3328
2017-04-05,53,30,118,201,0.5871,0.277108,0.114428,0.015759,0.428571,0.6459,0.3005,0.2848,0.4147
2017-04-06,31,41,89,161,0.5528,-0.138889,-0.062112,-0.079701,-0.052632,0.6659,0.2658,0.3455,0.3888
2017-04-07,47,56,81,184,0.4402,-0.087379,-0.048913,-0.083238,-0.056338,0.6938,0.2892,0.3724,0.3384
2017-04-08,13,12,33,58,0.569,0.04,0.017241,-0.054121,-0.0625,0.6608,0.2745,0.3286,0.397
2017-04-09,12,13,22,47,0.4681,-0.04,-0.021277,-0.037857,-0.043478,0.6949,0.3109,0.3487,0.3404
2017-04-10,46,55,98,199,0.4925,-0.089109,-0.045226,-0.097205,-0.169231,0.6576,0.269,0.3663,0.3647
2017-04-11,30,38,49,117,0.4188,-0.117647,-0.068376,-0.078215,-0.109091,0.6979,0.304,0.3822,0.3138
2017-04-12,37,66,87,190,0.4579,-0.281553,-0.152632,-0.165199,-0.362319,0.6692,0.2469,0.4121,0.341
2017-04-13,42,63,79,184,0.4293,-0.2,-0.11413,-0.151749,-0.267606,0.6791,0.2577,0.4094,0.3329
2017-04-14,15,19,25,59,0.4237,-0.117647,-0.067797,-0.111373,-0.214286,0.7217,0.2901,0.4015,0.3084
2017-04-15,11,9,15,35,0.4286,0.1,0.057143,0.003408,0.058824,0.6875,0.3441,0.3407,0.3151
2017-04-16,8,6,19,33,0.5758,0.142857,0.060606,-0.01622,0.0,0.717,0.2962,0.3124,0.3913
2017-04-17,31,27,49,107,0.4579,0.068966,0.037383,-0.067083,-0.135135,0.6695,0.2955,0.3626,0.3419
2017-04-18,49,52,77,178,0.4326,-0.029703,-0.016854,-0.058248,-0.037975,0.7003,0.3087,0.367,0.3243
2017-04-19,54,64,78,196,0.398,-0.084746,-0.05102,-0.105002,-0.164706,0.7009,0.2945,0.3995,0.306
2017-04-20,50,60,78,188,0.4149,-0.090909,-0.053191,-0.073345,-0.085366,0.6916,0.3029,0.3763,0.3208
2017-04-21,25,39,51,115,0.4435,-0.21875,-0.121739,-0.122405,-0.148936,0.6832,0.2711,0.3935,0.3354
2017-04-22,17,15,27,59,0.4576,0.0625,0.033898,-0.024878,0.0,0.6844,0.301,0.3259,0.3731
2017-04-23,13,21,45,79,0.5696,-0.235294,-0.101266,-0.130532,-0.214286,0.6752,0.2281,0.3587,0.4132
2017-04-24,81,34,110,225,0.4889,0.408696,0.208889,0.089781,0.349398,0.6731,0.3669,0.2771,0.356
2017-04-25,62,49,108,219,0.4932,0.117117,0.059361,-0.015882,0.130952,0.6754,0.3128,0.3287,0.3585
2017-04-26,58,28,63,149,0.4228,0.348837,0.201342,0.109013,0.308824,0.6983,0.4,0.291,0.309
2017-04-27,53,50,86,189,0.455,0.029126,0.015873,-0.051766,-0.074074,0.6954,0.3061,0.3579,0.336
2017-04-28,63,64,77,204,0.3775,-0.007874,-0.004902,-0.036074,-0.019802,0.7152,0.3263,0.3624,0.3113
2017-04-29,14,20,26,60,0.4333,-0.176471,-0.1,-0.169568,-0.47619,0.6666,0.2319,0.4015,0.3666
2017-04-30,20,12,29,61,0.4754,0.25,0.131148,0.00161,0.130435,0.6627,0.3247,0.3231,0.3521
2017-05-01,16,17,25,58,0.431,-0.030303,-0.017241,-0.106849,-0.238095,0.6712,0.2655,0.3723,0.3622
2017-05-02,38,23,54,115,0.4696,0.245902,0.130435,0.050442,0.291667,0.6883,0.3567,0.3063,0.337
2017-05-03,64,37,90,191,0.4712,0.267327,0.141361,0.045214,0.2,0.6771,0.3449,0.2997,0.3555
2017-05-04,70,45,74,189,0.3915,0.217391,0.132275,0.081771,0.292683,0.6892,0.3871,0.3053,0.3076
2017-05-05,43,43,57,143,0.3986,0.0,0.0,-0.058321,-0.152542,0.6882,0.3146,0.373,0.3124
2017-05-06,10,11,13,34,0.3824,-0.047619,-0.029412,-0.052891,0.090909,0.6663,0.2974,0.3503,0.3523
2017-05-07,11,12,23,46,0.5,-0.043478,-0.021739,-0.078774,-0.066667,0.6735,0.2693,0.3481,0.3826
